"question","answer","notes","mastery"
"Besides zip and 7z files which other type of package file could windows 11 create","TAR","Windows 11 can natively create TAR files.TAR is short for tape archive and is commonly used in linux and unix systems",0
"Where can you find the quick settings panel, which includes thed wifi, bluetooth and other settings","bottom right task bar","Quick settings give you access to some of the computers most important settings",0
"What is the special processor included in copilot+PC's","NPU","NPU short for neural processing unit is a specialized chip designed to handle AI-intesive tasks. Ideal for real-time AI applications. (2025) currently using the Snapdragon X Elite chips",0
"Besides local Accounts what kind of accounts are used in Windows 11","Microsoft online account","MS online account allows for the use of online services, Email account, OneDrive and store access",0
"Is a commercial account, employer, school, or governement agency, a local account?","no","Commercial accounts are ms online accounts that have already been setup by the organization that assigns them.",0
"What name is used to connect to a computer over the network","device name","A computer's device name is used to connect to it over the network.Device names cannot include spaces or special characters.",0
"What is the name of the button next to the search bar in the task bar","Start button","The start button opens up the start menu which whill show a list of pinned applications by default, but may display all apps",0
"What is the name of the cluster of icons on the right side of the task bar","System tray","The system tray in Windows is the area on the right side of the taskbar where various icons display background applications, notifications, and system settings. You'll typically find icons for network status, volume control, battery life, and security updates.",0
"Where can you find the Settings Menu","Pinned in start menu","It may not always be pinned in the start menu. If it's not click on the 'all' button on the top right and scroll down to settings",0
"Which Category on the left side of the settings menu will contain the device name?","System","The system category will contain important information such as the device name, computer model and other important sub-menus like: Display, Sound, Notifications, and Storage",0
"","","",0
