"question","answer","notes","mastery"
"What is the process of adjusting the flow of data from the sender to ensure that ther receiving host can handle all of it","flow control","Flow control ensures that the receiving host can handle all the traffic being sent to it, it does this by adjusting the flow of data",0
"Besides flow control what is a key feature that may be provided by the transport layer","error recovery","Error Recovery and Data Flow are the 2 main features that the transport layer takes care of",0
"Will the transport layer always handle error recovery and flow control","no","",0
"The process by which a host is able to support multiple sessions simultaneously and manage traffic over a single link","session multiplexing","Session multiplexing allows the host to support many sessions at the same time and manage it all over a sinble data line",0
"What is a session?","active connection to a port","A host device can have multiple sessions to different servers, each session is the communication line to that server over a port, ports are often categorized by a defined service and protocol",0
"What's the protocol for port 25","smtp","SMTP stands for Simple Mail Transfer Protocol. It's the standard communication protocol used for sending and receiving email messages over the internet",0
"What's the protocol for port 80","http","HTTP stands for Hypertext Transfer Protocol. It's the foundation of data communication on the World Wide Web, allowing web browsers and servers to exchange information",0
"What is one reason for combining the source and destination port number in a segment","track session","When a host sends a segment over the network, the host also adds the source port number. The destionation number is also included so that the segment arrives to the port number. Both of these can be used to track sessions",0
"What is used to identify the upper layer protocol?","destination port","The destination port number can be used to identify the upper layer protocol",0 
"The source port number is often a random number above __","1024","A random port number above 1024 is often used as the source port from a client device",0
"When a server returns traffic it flips the Destination and Source port, which network device uses this information to filter packets?","stateful firewall","Stateful firewalls use connection Tracking – When a device initiates a connection (like a TCP handshake) the firewall records details such as source/destination IP addresses and port numbers.", 0
"Besides TCP which other popular L4 protocol is used","UDP","UDP and TCP are the 2 common L4 protocols",0
"Which L4 protocol is connection oriented","TCP","TCP is connection oriented. Meaning that data can be transfered bidirectionally once a connection is established",0
"TCP uses what to ensure segments are processed in the correct order and none are missing","sequencing","Sequencing ensures segments are processed in order",0
"Which L4 protocol returns acknowledgments back to the sender to ensure no segments are missing", "TCP","TCP is reliable as it ensures lost segments are resent",0
"Does TCP perform flow control","YES","TCP performs flow control",0
"First step of TCP 3 way handshake: Sender sends _ to Receiver","SYN","Sender sends Synchronize message (SYN) to Receiving device",0
"Second step of TCP 3 way handshake: Receiver sends _ back to Sender","SYN-ACK","Second step, Receiver sends a Synchronized Acknowledgment back to the sender",0
"Third step of TCP 3 way handshake: Sender sends _ back to the Receiver","ACK","The last step the Sender sends an Acknowldegment (ACK) back to the receiver",0
"How many bits for both the source and destination port combined","32","The source port is 16 bits the destination port is 16 bits both are 32 bits",0
"bow many Bytes for the TCP header","20","20 Bytes for the entire TCP header",0
"TCP port 21","FTP","File Transfer Protocol, used for transferring files between computers",0
"TCP port 22","SSH","Secure Shell, used for secure remote login and command execution",0
"TCP port 23","Telnet","Unencrypted protocol for remote access to devices",0
"TCP port 80","HTTP","Hypertext Transfer Protocol, used for web browsing",0
"TCP port 443","HTTPS","Secure version of HTTP, encrypting web traffic",0
"UDP port 69","TFTP","Trivial File Transfer Protocol, lightweight file transfer without authentication",0
"UDP port 161","SNMP","Simple Network Management Protocol, used for monitoring and managing network devices",0
"TCP/UDP port 53","DNS","Domain Name System, resolves domain names to IP addresses",0
"FTP L4 protocol","TCP","Transport layer protocol used for reliable file transfers",0
"SSH L4 protocol","TCP","Transport layer protocol ensuring secure remote communication",0
"Telnet L4 protocol","TCP","Transport layer protocol for remote device access",0
"HTTP L4 protocol","TCP","Transport layer protocol used for web communication",0
"HTTPS L4 protocol","TCP","Secure transport layer protocol for encrypted web communication",0
"TFTP L4 protocol","UDP","Transport layer protocol for simple file transfers",0
"SNMP L4 protocol","UDP","Transport layer protocol for network management",0
"DNS L4 protocol","TCP/UDP","Transport layer protocol enabling domain name resolution",0
"L4 Protocol sends traffic best effort","UDP","UDP sends traffic in best effort approach",0
"Does not use sequencing","UDP","UDP does not carry out sequencing to ensure segments are processed in the correct order",0
"term used for TCP that means the receiving host sends acknowledgments back to the sender","reliable","Unlike TCP; UDP is not reliable- the receiving host does not send acks back to the sender",0
"L4 protocol that leaves error recovery to the upper layers to provide","UDP","UDP does not provide error recovery",0
"L4 protocol that app developers use for traffic which requires reliability","TCP","TCP is chosen for applications that require data reliability",0
"L4 protocol for Voice and Video applications that can't afford extra overhead","UDP","UDP is better used for real time apps like video calling and voice over network",0

